open_time,open_time UTC+7,open,high,low,close,volume,close_time,close_time UTC+7
1.63344E+12,2021-10-05 19:00:00,49877.06,50388,49575.94,49793.57,9995.23455,1.63345E+12,2021-10-05 23:00:00
1.63345E+12,2021-10-05 23:00:00,49793.57,51388,49640.36,51190.11,10381.58737,1.63346E+12,2021-10-06 03:00:00
1.63346E+12,2021-10-06 03:00:00,51190.11,51886.3,51104.47,51471.99,9600.01317,1.63348E+12,2021-10-06 07:00:00
1.63348E+12,2021-10-06 07:00:00,51471.99,51600,50917.73,51513.81,6868.6122,1.63349E+12,2021-10-06 11:00:00
1.63349E+12,2021-10-06 11:00:00,51512.13,51828,51088,51449.99,9945.20825,1.63351E+12,2021-10-06 15:00:00
1.63351E+12,2021-10-06 15:00:00,51450,51500,50382.41,51306.56,14543.35572,1.63352E+12,2021-10-06 19:00:00
1.63352E+12,2021-10-06 19:00:00,51306.57,55555,51259.84,54984.19,29280.48901,1.63354E+12,2021-10-06 23:00:00
1.63354E+12,2021-10-06 23:00:00,54984.2,55109.67,54446.54,55049.99,10656.02466,1.63355E+12,2021-10-07 03:00:00
1.63355E+12,2021-10-07 03:00:00,55049.99,55750,54812,55315,8583.855344,1.63356E+12,2021-10-07 07:00:00
1.63356E+12,2021-10-07 07:00:00,55315,55332.31,54112,54810.94,9577.20435,1.63358E+12,2021-10-07 11:00:00
1.63358E+12,2021-10-07 11:00:00,54810.93,55237.04,54235.33,54755.92,9647.56154,1.63359E+12,2021-10-07 15:00:00
1.63359E+12,2021-10-07 15:00:00,54755.91,54778.91,53786.13,54305.54,10697.6879,1.63361E+12,2021-10-07 19:00:00
1.63361E+12,2021-10-07 19:00:00,54305.53,54700,53357,53899.99,12060.71474,1.63362E+12,2021-10-07 23:00:00
1.63362E+12,2021-10-07 23:00:00,53902.39,54330,53400,53962.76,7836.33158,1.63364E+12,2021-10-08 03:00:00
1.63364E+12,2021-10-08 03:00:00,53962.75,54640.3,53607.27,53785.22,5097.87755,1.63365E+12,2021-10-08 07:00:00
1.63365E+12,2021-10-08 07:00:00,53785.22,54429.99,53691.02,53815.22,5375.83993,1.63367E+12,2021-10-08 11:00:00
1.63367E+12,2021-10-08 11:00:00,53815.21,54967.97,53617.61,54829.39,8039.6728,1.63368E+12,2021-10-08 15:00:00
1.63368E+12,2021-10-08 15:00:00,54829.38,56100,54753.66,55242.72,13260.47223,1.63369E+12,2021-10-08 19:00:00
1.63369E+12,2021-10-08 19:00:00,55242.71,55300,54024.84,54324.84,9801.73911,1.63371E+12,2021-10-08 23:00:00
1.63371E+12,2021-10-08 23:00:00,54324.83,54700,54042.38,54686.48,4641.59746,1.63372E+12,2021-10-09 03:00:00
1.63372E+12,2021-10-09 03:00:00,54686.48,54774.35,53775.83,53951.43,5040.93632,1.63374E+12,2021-10-09 07:00:00
1.63374E+12,2021-10-09 07:00:00,53955.67,54699,53661.67,54560.58,4885.17671,1.63375E+12,2021-10-09 11:00:00
1.63375E+12,2021-10-09 11:00:00,54562.58,55100,54384.27,54917.55,4846.20259,1.63377E+12,2021-10-09 15:00:00
1.63377E+12,2021-10-09 15:00:00,54917.56,55340.3,54490.55,54792.68,10880.54655,1.63378E+12,2021-10-09 19:00:00
1.63378E+12,2021-10-09 19:00:00,54792.68,55489,54792.68,54977.29,12974.62361,1.6338E+12,2021-10-09 23:00:00
